company,category,organization
KOPENHAGEN,Alimentação,$alimentação/restaurante
BACIO DI LATTE,Alimentação,$alimentação/restaurante
CHIQUINHO SORVETES,Alimentação,$alimentação/restaurante
GELA GUELA,Alimentação,$alimentação/restaurante
CASTELO EMBALAGENS,Alimentação,$alimentação/supermercado
N. B. A. COMERCIO E DISTRIBUIDORA,Alimentação,$alimentação/supermercado
SINHA EXPRESS,Alimentação,$alimentação/supermercado
SUPERMERCADO E ACOUGUE KMY,Alimentação,$alimentação/supermercado
TOP MAR PRODUTOS DA FAZENDA E NATURAIS E ERVAS,Alimentação,$alimentação/supermercado
COMERCIAL FLOR DO CAMPO,Alimentação,$alimentação/supermercado
COMERCIAL GUANDUENSE,Alimentação,$alimentação/supermercado
MERCADO UNIAO,Alimentação,$alimentação/supermercado
PETISQUE,Alimentação,$alimentação/supermercado
SUCATA BRASIL,Alimentação,$alimentação/supermercado
BOUTIQUE SPLENDORE,Alimentação,$alimentação/supermercado
MERCADO SANTA LUISA,Alimentação,$alimentação/supermercado
MERCADO D'NUNES,Alimentação,$alimentação/supermercado
SUPERMERCADOS QUERO MAIS,Alimentação,$alimentação/supermercado
PRIME EVANGELINA,Alimentação,$alimentação/supermercado
SUPERMERCADO LEVE MAIS,Alimentação,$alimentação/supermercado
COMERCIAL DAVI,Alimentação,$alimentação/supermercado
COMERCIAL FAUSTINO II,Alimentação,$alimentação/supermercado
ARMAZEM REAL,Alimentação,$alimentação/supermercado
SHOPPING VARIEDADES,Alimentação,$alimentação/supermercado
MERCADINHO AKITEM,Alimentação,$alimentação/supermercado
MERCEARIA FAMILIAR,Alimentação,$alimentação/supermercado
TBS COMERCIO E EMPREENDIMENTOS,Alimentação,$alimentação/supermercado
COMERCIAL DPF,Alimentação,$alimentação/supermercado
COMERCIAL MARCIANO,Alimentação,$alimentação/supermercado
JL FRANGOS E VERDURAS,Alimentação,$alimentação/supermercado
BARATINHOS MINIMERCADO,Alimentação,$alimentação/supermercado
MERCADO BOM PRECO,Alimentação,$alimentação/supermercado
COMERCIAL CUNHA,Alimentação,$alimentação/supermercado
PADARIA XV,Alimentação,$alimentação/supermercado
INHOUSE COMERCIO E SERVICOS,Alimentação,$alimentação/supermercado
SUPERMERCADO DO NENEM,Alimentação,$alimentação/supermercado
DOCE HOME CAFE,Alimentação,$alimentação/supermercado
EMPORIO NOGUEIRA,Alimentação,$alimentação/supermercado
OXXO LARGO DO AROUCHE,Alimentação,$alimentação/supermercado
R & C COMERCIO E SERVICOS,Alimentação,$alimentação/supermercado
MERCADO E ACOUGUE ECONOMIA,Alimentação,$alimentação/supermercado
A QUEIJARIA,Alimentação,$alimentação/supermercado
CONVENIENCIA AVENIDA,Alimentação,$alimentação/supermercado
STORE MATOS,Alimentação,$alimentação/supermercado
MERCADO E ACOUGUE NOVO PRECO,Alimentação,$alimentação/supermercado
SR. ESPONJA DISTRIBUIDORA,Alimentação,$alimentação/supermercado
MINI MERCADO PARIPIRANGA,Alimentação,$alimentação/supermercado
MISS BARRIGA MODA GESTANTE,Compras,$compras
LITORANEUS PAULO AFONSO,Compras,$compras
LA SOPHIE STORE,Compras,$compras
OUTLET TAIPAS,Compras,$compras
LOTUS IMPERIAL,Compras,$compras
JUELY MODAS,Compras,$compras
TOP 10 MODAS,Compras,$compras
J KIDS BABY,Compras,$compras
ROSELI VIEIRA DA SILVA,Compras,$compras
JANA LINGERIE,Compras,$compras
PARAISO DOS BIQUINIS,Compras,$compras
CLOSET DE LUXO,Compras,$compras
NINA ROSA MODA PRAIA,Compras,$compras
J L MODAS,Compras,$compras
AMAZONAS IMPORTADOS PORTEL,Compras,$compras
LOJA DONA,Compras,$compras
PEPIS STORE,Compras,$compras
TEM TOTAL MODAS,Compras,$compras
LOJAS LUCINEIDE,Compras,$compras
SURAMINHA MODAS,Compras,$compras
AB STORE,Compras,$compras
ESPACO 10,Compras,$compras
ORACULO IMOVEIS,Compras,$compras
UAI MENINA,Compras,$compras
TACTICAL FORCE,Compras,$compras
KFS MEN CLOSET,Compras,$compras
ARCO IRIS,Compras,$compras
ELITE MULTIMARCAS,Compras,$compras
SOL E LUA,Compras,$compras
HEMING,Compras,$compras
RE BOUTIQUE,Compras,$compras
R.A.IMPORTS,Compras,$compras
NARJARA CLOSET,Compras,$compras
NOVOSTYLO,Compras,$compras
LOJAS MARES,Compras,$compras
LU ROSA,Compras,$compras
PREMISSA,Compras,$compras
FLOR DE CAFE BOUTIQUE,Compras,$compras
SHOPPING CARUARU,Compras,$compras
EMPORIO PAULISTA CONFECCOES E ACESSORIOS,Compras,$compras
LADYS STORE,Compras,$compras
SARDEGNA SARTORIA,Compras,$compras
THE LITTLE KING,Compras,$compras
431 MODOAS,Compras,$compras
ROMANA TRICOT,Compras,$compras
MAGAZINE PARREIRA,Compras,$compras
FLUMINENSE FC LOJA OFICIAL,Compras,$compras
RR ROUPAS E ACESSORIOS,Compras,$compras
TODA LINDA,Compras,$compras
VAINA MODA,Compras,$compras
ZULU MODAS,Compras,$compras
BARATO MANIA,Compras,$compras
DONNA FASHIONISTA,Compras,$compras
DUALITY,Compras,$compras
SCARLET STORE,Compras,$compras
DUDA MODAS,Compras,$compras
LUMOS STORE,Compras,$compras
VIOT,Compras,$compras
A PRINCIPAL BEBE E MAMAE,Compras,$compras
CALCEFLEXX CALCADOS,Compras,$compras
DIVINO JEANS,Compras,$compras
EMNORONHA,Compras,$compras
CASALWOD,Compras,$compras
JCMS UNIFORMES E CONFECCOES,Compras,$compras
BIOTIPO MODAS,Compras,$compras
BABY STYLE,Compras,$compras
PRECO JUSTO STORE,Compras,$compras
SANDALINDAS,Compras,$compras
BJC COMERCIAL,Compras,$compras
A M MODAS E ACESSORIOS,Compras,$compras
MALU KIDS,Compras,$compras
KATIA MAGAZINE,Compras,$compras
KIDSTOK SP MARKET CENTER,Compras,$compras
DINAMOTION,Compras,$compras
NACAO BRASILIA,Compras,$compras
SISTERS BY COELHO,Compras,$compras
MERCANTIL PARAMBU,Compras,$compras
BLACK PINK,Compras,$compras
ITS MUNDO FASHION,Compras,$compras
ALVORE,Compras,$compras
ANA JULIA STORIE VARIEDADES,Compras,$compras
PIM,Compras,$compras
FORMATO Z,Compras,$compras
DINEY MODAS,Compras,$compras
KENNE FASHION,Compras,$compras
LOOK DA MODA OFICIAL,Compras,$compras
REUTILIZANDO BRECHO,Compras,$compras
VITOR CONFECCOES,Compras,$compras
TESOURA DE OURO,Compras,$compras
VALDIR VARIEDADES,Compras,$compras
GAVAZZI,Compras,$compras
BABY MHAR FRALDAS E ACESSORIOS PARA BEBE,Compras,$compras
SOPRANO MODAS,Compras,$compras
MFW,Compras,$compras
USE BHOTO,Compras,$compras
FLOR DE LIZ STORE,Compras,$compras
INTIMMA LINGERIE,Compras,$compras
GAFBR,Compras,$compras
DANICELL TELECOMUNICACOES,Compras,$compras
NACIONAL MAGAZINE,Compras,$compras
CUBO MARKET,Compras,$compras
RED STORE,Compras,$compras
GP INFORMATICA,Compras,$compras
TECNERD,Compras,$compras
NOVA NET ISP,Compras,$compras
GENIUN'S TEC,Compras,$compras
VIPTECH INFORMATICA,Compras,$compras
PROSOMA AUTOMACAO COMERCIAL,Compras,$compras
Ensa Gestao e Tecnologia,Compras,$compras
MSA COMERCIO DE ELETRONICOS,Compras,$compras
LIRAZ,Compras,$compras
AZZE STORE,Compras,$compras
TOOL KIT TI,Compras,$compras
ALLSYS TECNOLOGIA,Compras,$compras
GRUPO ALTA IMPRESSAO,Compras,$compras
HARD-OFF,Compras,$compras
DAYTECH INFORMATICA & CIA,Compras,$compras
M4N,Compras,$compras
MFM SUPRIMENTOS EM INFORMATICA,Compras,$compras
MTEC INFORMATICA EIRELI,Compras,$compras
TAUPRON COMERCIO E SERVICOS,Compras,$compras
AUTENTICO IMPORTADO,Compras,$compras
GRS TECNOLOGIA E SEGURANCA,Compras,$compras
TONY IMPORTADOS,Compras,$compras
PACHECO TECNOLOGIA DA INFORMACAO,Compras,$compras
SARAIVA COMERCIO,Compras,$compras
INFOSHOP INFORMATICA,Compras,$compras
FOCO SEGURANCA,Compras,$compras
JLOPES ENGENHARIA E PROJETOS,Compras,$compras
EVIDENCIA INFORMATICA,Compras,$compras
JONBEZ E-COMMERCE,Compras,$compras
IGS IMPORTS,Compras,$compras
A CASA DOS NOTEBOOKS,Compras,$compras
REAL FAST,Compras,$compras
RS SISTEMA DE IMPRESSAO,Compras,$compras
R25,Compras,$compras
WMD ONLINE,Compras,$compras
GF E-COMMERCE,Compras,$compras
PRINTT SUB,Compras,$compras
LWR MERCADO SEGURANCA,Compras,$compras
TERALINK TELECOM,Compras,$compras
VILELAGG,Compras,$compras
ATLAS TEC,Compras,$compras
FORCETECH,Compras,$compras
SNAW,Compras,$compras
ALL COMMERCE,Compras,$compras
ISTEQ,Compras,$compras
RM SOLUCOES,Compras,$compras
CENTRAL CELL,Compras,$compras
K VENDAS,Compras,$compras
INFOTEC 3F,Compras,$compras
GLOBALTEC,Compras,$compras
WORLD INFORMATICA IBITIRAMA,Compras,$compras
RNA DIVERSOES ELETRONICAS,Compras,$compras
IONS CABOS,Compras,$compras
"MDR - COMERCIO, PROJETOS, OBRAS E ENGENHARIA",Compras,$compras
3D ALFA,Compras,$compras
ELOHIM TECH,Compras,$compras
CENTER TECH INFORMATICA E SERVICOS,Compras,$compras
DT IMPORTS,Compras,$compras
JSS TRANS COMERCIAL,Compras,$compras
INFO MEGA TECNOLOGIA,Compras,$compras
CELCOMM,Compras,$compras
MINAS SOLUCOES,Compras,$compras
INNOVA TECH SMART,Compras,$compras
ALITECH AUTOMACAO COMERCIAL,Compras,$compras
.BAT,Compras,$compras
TN4-TECH,Compras,$compras
WISH BRASIL,Compras,$compras
S.O.S CELULAR E INFORMATICA,Compras,$compras
TATI VAREJO,Compras,$compras
MODE ON,Compras,$compras
SM ARTIGOS DE INFORMATICA,Compras,$compras
CONTARINA,Compras,$compras
MARCAO INFORMATICA,Compras,$compras
TOP INFORMATICA,Compras,$compras
MSINFO SOLUCOES EM TECNOLOGIA,Compras,$compras
CASSMAR,Compras,$compras
3L DISTRIBUIDORA,Compras,$compras
LION TECHNOLOGY,Compras,$compras
MULTIHARD,Compras,$compras
META PROMOCOES,Compras,$compras
TIAGO PAMPA SOLUCOES,Compras,$compras
SOLUTION ASSESSORIA,Compras,$compras
INFOIMPRESS COMERCIO E SERVICOS,Compras,$compras
MK CELL,Compras,$compras
DELTA,Compras,$compras
APPLEINFOCELL SOLUTIONS,Compras,$compras
PLAYTECH,Compras,$compras
HUBTECHNOLOGY,Compras,$compras
OXOSTORE,Compras,$compras
CR SERVICOS,Compras,$compras
CALIFORNIA TECH,Compras,$compras
SHOP DO ENVELOPADOR,Compras,$compras
G W A SERVICOS E PARTICIPACOES,Compras,$compras
AIB TECNOLOGIA,Compras,$compras
MULTI SHOP CHAPECO,Compras,$compras
PRADO INFORMATICA,Compras,$compras
HAVAN,Compras,$compras
RIACHUELO,Compras,$compras
RENNER,Compras,$compras
ADIDAS,Compras,$compras
ASICS,Compras,$compras
RESERVA,Compras,$compras
AREZZO,Compras,$compras
PERNAMBUCANAS,Compras,$compras
CAEDU,Compras,$compras
LOJAO DO BRAS,Compras,$compras
RENNER,Compras,$compras
RIACHUELO,Compras,$compras
MARISA,Compras,$compras
ZARA,Compras,$compras
FOREVER 21,Compras,$compras
YOUCOM,Compras,$compras
LUIGI BERTOLLI,Compras,$compras
HERING,Compras,$compras
HERING KIDS,Compras,$compras
ARAMIS,Compras,$compras
LE LIS BLANC,Compras,$compras
RICHARDS,Compras,$compras
ANIMALE,Compras,$compras
FARM,Compras,$compras
DRESS TO,Compras,$compras
SHOULDER,Compras,$compras
TNG,Compras,$compras
LACOSTE,Compras,$compras
SCHUTZ,Compras,$compras
VIA MIA,Compras,$compras
ANACAPRI,Compras,$compras
MR. CAT,Compras,$compras
MELISSA,Compras,$compras
CENTAURO,Compras,$compras
ARTWALK,Compras,$compras
WORLD TENNIS,Compras,$compras
TRACKEFIELD,Compras,$compras
SAMSUNG,Compras,$compras
APPLE (IPLACE OU FAST SHOP),Compras,$compras
XIAOMI,Compras,$compras
MOTOROLA,Compras,$compras
VIVO,Compras,$compras
CLARO,Compras,$compras
TIM,Compras,$compras
OI,Compras,$compras
AMERICANAS EXPRESS,Compras,$compras
MAGAZINE LUIZA,Compras,$compras
O BOTICARIO,Compras,$compras
NATURA,Compras,$compras
QUEM DISSE BERENICE,Compras,$compras
SEPHORA,Compras,$compras
MAC,Compras,$compras
LOCCITANE,Compras,$compras
THE BODY SHOP,Compras,$compras
GRANADO,Compras,$compras
LUSH,Compras,$compras
CONTEM 1G,Compras,$compras
IMAGINARIUM,Compras,$compras
TOKSTOK,Compras,$compras
CAMICADO,Compras,$compras
LE BISCUIT,Compras,$compras
MULTICOISAS,Compras,$compras
DAISO JAPAN,Compras,$compras
KALUNGA,Compras,$compras
MINISO,Compras,$compras
ZELO,Compras,$compras
PONTO,Compras,$compras
SARAIVA,Compras,$compras
LEITURA,Compras,$compras
LIVRARIA DA VILA,Compras,$compras
RI HAPPY,Compras,$compras
PBKIDS,Compras,$compras
PITICAS,Compras,$compras
GEEK10,Compras,$compras
UZ GAMES,Compras,$compras
LOJAS AMERICANAS,Compras,$compras
MAGIC GAMES,Compras,$compras
CHILLI BEANS,Compras,$compras
ÓTICAS CAROL,Compras,$compras
ÓTICAS DINIZ,Compras,$compras
LOJAS MARABRAZ,Compras,$compras
AMIL,Saúde,$saude/plano
UNIMED NACIONAL,Saúde,$saude/plano
BRADESCO SAÚDE,Saúde,$saude/plano
SULAMÉRICA SAÚDE,Saúde,$saude/plano
NOTREDAME INTERMÉDICA,Saúde,$saude/plano
HAPVIDA SAÚDE,Saúde,$saude/plano
UNIMED-RIO,Saúde,$saude/plano
UNIMED-BH,Saúde,$saude/plano
UNIMED PAULISTANA,Saúde,$saude/plano
UNIMED CAMPINAS,Saúde,$saude/plano
UNIMED PORTO ALEGRE,Saúde,$saude/plano
UNIMED FORTALEZA,Saúde,$saude/plano
UNIMED RECIFE,Saúde,$saude/plano
UNIMED CURITIBA,Saúde,$saude/plano
UNIMED BELÉM,Saúde,$saude/plano
UNIMED VITÓRIA,Saúde,$saude/plano
UNIMED FESP (FEDERAÇÃO ESTADO DE SÃO PAULO),Saúde,$saude/plano
GOLDEN CROSS,Saúde,$saude/plano
PORTO SAÚDE (PORTO SEGURO),Saúde,$saude/plano
PROMED ASSISTÊNCIA MÉDICA,Saúde,$saude/plano
SÃO FRANCISCO SAÚDE,Saúde,$saude/plano
BIOVIDA SAÚDE,Saúde,$saude/plano
GREENLINE SAÚDE,Saúde,$saude/plano
PREVENT SENIOR,Saúde,$saude/plano
MEDSÊNIOR,Saúde,$saude/plano
CASSI (BANCO DO BRASIL),Saúde,$saude/plano
POSTAL SAÚDE (CORREIOS),Saúde,$saude/plano
PETROBRAS DISTRIBUIDORA SAÚDE (PETROS),Saúde,$saude/plano
CEMIG SAÚDE,Saúde,$saude/plano
FUNDAÇÃO SAÚDE ITAÚ (FUSATI),Saúde,$saude/plano
RAIA DROGASIL,Saúde,$saude/farmacia
DROGARIA SÃO PAULO,Saúde,$saude/farmacia
DROGARIA PACHECO,Saúde,$saude/farmacia
PAGUE MENOS,Saúde,$saude/farmacia
DROGASIL,Saúde,$saude/farmacia
DROGA RAIA,Saúde,$saude/farmacia
PANVEL,Saúde,$saude/farmacia
DROGARIA ARAUJO,Saúde,$saude/farmacia
DROGARIA VENANCIO,Saúde,$saude/farmacia
FARMÁCIAS SÃO JOÃO,Saúde,$saude/farmacia
NISSEI,Saúde,$saude/farmacia
FARMA CONDE,Saúde,$saude/farmacia
DROGARIA MODERNA,Saúde,$saude/farmacia
DROGARIA TOTAL,Saúde,$saude/farmacia
DROGARIA SANTA MARTA,Saúde,$saude/farmacia
REDE INDIANA,Saúde,$saude/farmacia
FARMÁCIAS POUPAFARMA,Saúde,$saude/farmacia
FARMÁCIAS SANTA LÚCIA,Saúde,$saude/farmacia
DROGARIA CRISTAL,Saúde,$saude/farmacia
FARMÁCIAS PAGUE FÁCIL,Saúde,$saude/farmacia
DROGARIAS GALANTI,Saúde,$saude/farmacia
DROGARIA ULTRA POPULAR,Saúde,$saude/farmacia
DROGARIA ROSÁRIO,Saúde,$saude/farmacia
FARMÁCIAS MAIS ECONÔMICA,Saúde,$saude/farmacia
FARMÁCIA PREÇO POPULAR,Saúde,$saude/farmacia
DROGARIA COOP,Saúde,$saude/farmacia
DROGARIA SÃO BENTO,Saúde,$saude/farmacia
DROGARIAS FARMAIS,Saúde,$saude/farmacia
FARMAIS,Saúde,$saude/farmacia
REDEPHARMA,Saúde,$saude/farmacia
DROGARIA IDEAL,Saúde,$saude/farmacia
FARMÁCIA INDIANA,Saúde,$saude/farmacia
DROGARIA FTB,Saúde,$saude/farmacia
FARMÁCIAS FARMA FARMA,Saúde,$saude/farmacia
DROGARIA DO POVO,Saúde,$saude/farmacia
DROGARIAS ECONÔMICAS,Saúde,$saude/farmacia
FARMÁCIAS SÃO RAFAEL,Saúde,$saude/farmacia
DROGARIA POPULAR,Saúde,$saude/farmacia
FARMÁCIA SÃO PEDRO,Saúde,$saude/farmacia
DROGARIA ESSENCIAL,Saúde,$saude/farmacia
FARMA VITTA,Saúde,$saude/farmacia
REDE SUPER POPULAR,Saúde,$saude/farmacia
DROGARIA ULTRA FARMA,Saúde,$saude/farmacia
DROGARIA MENOR PREÇO,Saúde,$saude/farmacia
FARMA 10,Saúde,$saude/farmacia
FARMÁCIA CENTRAL,Saúde,$saude/farmacia
DROGARIA PAGUE MENOS EXPRESS,Saúde,$saude/farmacia
DROGARIA FARMELHOR,Saúde,$saude/farmacia
DROGARIA MULTMAIS,Saúde,$saude/farmacia
REDE SANTA BRANCA,Saúde,$saude/farmacia
BARBEARIA CAVALERA,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA VIP,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA DOM HELIO,Cuidado Pessoal,$cuidado_pessoal/barbeiro
THE BARBER,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA CARTEL,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA CLUBE,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA SEU ELIAS,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA NAVALHA,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA VISAGE,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA OLD TOWN,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA DON JUAN,Cuidado Pessoal,$cuidado_pessoal/barbeiro
CORLEONE BARBER SHOP,Cuidado Pessoal,$cuidado_pessoal/barbeiro
GARAGEM BARBEARIA,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA BLACK WHITE,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA RETRÔ,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA CAVALHEIROS,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA DO ZÉ,Cuidado Pessoal,$cuidado_pessoal/barbeiro
DON MAX BARBER CLUB,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBER CLUB BRASIL,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBER SHOP MOUSTACHE,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA 9 DE JULHO,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA SÃO JORGE,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA BARBA RUIVA,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA DON,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA REI DOS CORTES,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA LORD’S,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA CORTE & COMPANHIA,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA NOBRE ARTE,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA BLACK AND GOLD,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA DO ALEMÃO,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA MOISÉS,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA ROYAL,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA GARAGE 77,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA DO BARBA,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA CHIC,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA BRUTUS,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA MAN CAVE,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA EL PATRON,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA PORTO,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA DO SAMUKA,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BARBEARIA CORLEONE PREMIUM,Cuidado Pessoal,$cuidado_pessoal/barbeiro
THE MEN’S CLUB,Cuidado Pessoal,$cuidado_pessoal/barbeiro
MR. MUSTACHE,Cuidado Pessoal,$cuidado_pessoal/barbeiro
VINTAGE BARBER SHOP,Cuidado Pessoal,$cuidado_pessoal/barbeiro
THE BARBER’S CLUB,Cuidado Pessoal,$cuidado_pessoal/barbeiro
MACHO-LÂNDIA,Cuidado Pessoal,$cuidado_pessoal/barbeiro
BIG BOSS BARBER SHOP,Cuidado Pessoal,$cuidado_pessoal/barbeiro
SPAZIO UOMO,Cuidado Pessoal,$cuidado_pessoal/barbeiro
CLUBE DO BARBEIRO,Cuidado Pessoal,$cuidado_pessoal/barbeiro
LE BARBE,Cuidado Pessoal,$cuidado_pessoal/barbeiro
SMART FIT,Cuidado Pessoal,$cuidado_pessoal/academia
BLUE FIT,Cuidado Pessoal,$cuidado_pessoal/academia
SELFIT,Cuidado Pessoal,$cuidado_pessoal/academia
JUST FIT,Cuidado Pessoal,$cuidado_pessoal/academia
BODYTECH,Cuidado Pessoal,$cuidado_pessoal/academia
COMPANHIA ATHLETICA,Cuidado Pessoal,$cuidado_pessoal/academia
FORMULA ACADEMIA,Cuidado Pessoal,$cuidado_pessoal/academia
MOVEMENT,Cuidado Pessoal,$cuidado_pessoal/academia
PRATIQUEM FITNESS,Cuidado Pessoal,$cuidado_pessoal/academia
FIT ONE,Cuidado Pessoal,$cuidado_pessoal/academia
RED FIT,Cuidado Pessoal,$cuidado_pessoal/academia
ECO FIT,Cuidado Pessoal,$cuidado_pessoal/academia
ENERGY FITNESS,Cuidado Pessoal,$cuidado_pessoal/academia
IRONBERG,Cuidado Pessoal,$cuidado_pessoal/academia
ACADEMIA GAVIÕES,Cuidado Pessoal,$cuidado_pessoal/academia
MALHACAO BRASIL,Cuidado Pessoal,$cuidado_pessoal/academia
ALPHAFIT,Cuidado Pessoal,$cuidado_pessoal/academia
ATITUDE FITNESS,Cuidado Pessoal,$cuidado_pessoal/academia
K2 FITNESS,Cuidado Pessoal,$cuidado_pessoal/academia
TECHNOGYM,Cuidado Pessoal,$cuidado_pessoal/academia
CROSSFIT BRASIL,Cuidado Pessoal,$cuidado_pessoal/academia
BLACK FIT,Cuidado Pessoal,$cuidado_pessoal/academia
HYPE FIT,Cuidado Pessoal,$cuidado_pessoal/academia
VIKINGS FITNESS,Cuidado Pessoal,$cuidado_pessoal/academia
ACADEMIA HERA,Cuidado Pessoal,$cuidado_pessoal/academia
ZION FITNESS,Cuidado Pessoal,$cuidado_pessoal/academia
INFINITY ACADEMIA,Cuidado Pessoal,$cuidado_pessoal/academia
ACADEMIA OLIMPO,Cuidado Pessoal,$cuidado_pessoal/academia
SUPERA GYM,Cuidado Pessoal,$cuidado_pessoal/academia
PERFORMANCE FITNESS,Cuidado Pessoal,$cuidado_pessoal/academia
PREMIUM FIT,Cuidado Pessoal,$cuidado_pessoal/academia
ACADEMIA ESPAÇO SAUDE,Cuidado Pessoal,$cuidado_pessoal/academia
R2 ACADEMIA,Cuidado Pessoal,$cuidado_pessoal/academia
CLUB LIFE,Cuidado Pessoal,$cuidado_pessoal/academia
FIT UP,Cuidado Pessoal,$cuidado_pessoal/academia
MAXFIT,Cuidado Pessoal,$cuidado_pessoal/academia
ELITE FITNESS,Cuidado Pessoal,$cuidado_pessoal/academia
EVIDENCE FITNESS,Cuidado Pessoal,$cuidado_pessoal/academia
LIFE ACADEMIA,Cuidado Pessoal,$cuidado_pessoal/academia
GOLD FIT,Cuidado Pessoal,$cuidado_pessoal/academia
XBODY,Cuidado Pessoal,$cuidado_pessoal/academia
BE FIT,Cuidado Pessoal,$cuidado_pessoal/academia
PROFIT ACADEMIA,Cuidado Pessoal,$cuidado_pessoal/academia
SAO FRANCISCO GYM,Cuidado Pessoal,$cuidado_pessoal/academia
HERCULES ACADEMIA,Cuidado Pessoal,$cuidado_pessoal/academia
BODY CLUB,Cuidado Pessoal,$cuidado_pessoal/academia
STARFIT,Cuidado Pessoal,$cuidado_pessoal/academia
OXIGEN ACADEMIA,Cuidado Pessoal,$cuidado_pessoal/academia
BRAVUS FIT,Cuidado Pessoal,$cuidado_pessoal/academia
TITAN ACADEMIA,Cuidado Pessoal,$cuidado_pessoal/academia
AMERICAN AIRLINES,Viagem,$viagem/passagem
DELTA AIR LINES,Viagem,$viagem/passagem
UNITED AIRLINES,Viagem,$viagem/passagem
SOUTHWEST AIRLINES,Viagem,$viagem/passagem
AIR FRANCE,Viagem,$viagem/passagem
KLM ROYAL DUTCH AIRLINES,Viagem,$viagem/passagem
LUFTHANSA,Viagem,$viagem/passagem
BRITISH AIRWAYS,Viagem,$viagem/passagem
RYANAIR,Viagem,$viagem/passagem
EASYJET,Viagem,$viagem/passagem
EMIRATES,Viagem,$viagem/passagem
QATAR AIRWAYS,Viagem,$viagem/passagem
ETIHAD AIRWAYS,Viagem,$viagem/passagem
SINGAPORE AIRLINES,Viagem,$viagem/passagem
TURKISH AIRLINES,Viagem,$viagem/passagem
ANA - ALL NIPPON AIRWAYS,Viagem,$viagem/passagem
JAPAN AIRLINES,Viagem,$viagem/passagem
CATHAY PACIFIC,Viagem,$viagem/passagem
AIR CANADA,Viagem,$viagem/passagem
QANTAS AIRWAYS,Viagem,$viagem/passagem
LATAM AIRLINES,Viagem,$viagem/passagem
GOL LINHAS AEREAS,Viagem,$viagem/passagem
AZUL LINHAS AEREAS,Viagem,$viagem/passagem
VOEPASS,Viagem,$viagem/passagem
MAP LINHAS AEREAS,Viagem,$viagem/passagem
JETSMART,Viagem,$viagem/passagem
SKY AIRLINE,Viagem,$viagem/passagem
AEROLINEAS ARGENTINAS,Viagem,$viagem/passagem
COPA AIRLINES,Viagem,$viagem/passagem
TAP PORTUGAL,Viagem,$viagem/passagem
DECOLAR,Viagem,$viagem/passagem
KAYAK,Viagem,$viagem/passagem
SKYSANNER,Viagem,$viagem/passagem
VIAJANET,Viagem,$viagem/passagem
SUBMARINO VIAGENS,Viagem,$viagem/passagem
CVC,Viagem,$viagem/passagem
MAXMILHAS,Viagem,$viagem/passagem
123MILHAS,Viagem,$viagem/passagem
LATAM PASSAGENS,Viagem,$viagem/passagem
GOL VIAGENS,Viagem,$viagem/passagem
AZUL VIAGENS,Viagem,$viagem/passagem
HURB,Viagem,$viagem/passagem
OMNIBEES,Viagem,$viagem/passagem
VIAJAR BARATO,Viagem,$viagem/passagem
TRIP ADVISOR FLIGHTS,Viagem,$viagem/passagem
